Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Kommune	Fylke	Lat	Lon	Høgd	Nynorsk	Bokmål	Engelsk	
101	Asak kirke	55	Kyrkje	Kirke	Church	Halden	Østfold	59.14465	11.45458		http://www.yr.no/stad/Noreg/Østfold/Halden/Asak_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Asak_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Asak_kirke/forecast.xml
101	Berg kirke	36	Kyrkje	Kirke	Church	Halden	Østfold	59.13783	11.32945		http://www.yr.no/stad/Noreg/Østfold/Halden/Berg_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Berg_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Berg_kirke/forecast.xml
101	Brekke	56	Sluse	Sluse	Lock	Halden	Østfold	59.14785	11.55603		http://www.yr.no/stad/Noreg/Østfold/Halden/Brekke~35224/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Brekke~35224/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Brekke~35224/forecast.xml
101	Brødløs	36	Byområde	Byområde	Part of a city	Halden	Østfold	59.13996	11.38078		http://www.yr.no/stad/Noreg/Østfold/Halden/Brødløs/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Brødløs/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Brødløs/forecast.xml
101	Demma	41	Grend	Grend	Village	Halden	Østfold	59.16335	11.42916		http://www.yr.no/stad/Noreg/Østfold/Halden/Demma/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Demma/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Demma/forecast.xml
101	Ertehytta	41	Turisthytte	Turisthytte	Hut	Halden	Østfold	59.11525	11.50333		http://www.yr.no/stad/Noreg/Østfold/Halden/Ertehytta/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Ertehytta/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Ertehytta/forecast.xml
101	Grøvet	41	Grend	Grend	Village	Halden	Østfold	58.89898	11.51447		http://www.yr.no/stad/Noreg/Østfold/Halden/Grøvet/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Grøvet/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Grøvet/forecast.xml
101	Halden	11	By	By	City - large town	Halden	Østfold	59.12460	11.38738		http://www.yr.no/stad/Noreg/Østfold/Halden/Halden/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Halden/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Halden/forecast.xml
101	Halden postkontor	36	Poststad	Poststed	Post area	Halden	Østfold	59.12527	11.38896		http://www.yr.no/stad/Noreg/Østfold/Halden/Halden_postkontor/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Halden_postkontor/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Halden_postkontor/forecast.xml
101	Haugtjernhytta	41	Turisthytte	Turisthytte	Hut	Halden	Østfold	59.09155	11.51977		http://www.yr.no/stad/Noreg/Østfold/Halden/Haugtjernhytta/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Haugtjernhytta/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Haugtjernhytta/forecast.xml
101	Holtet	41	Grend	Grend	Village	Halden	Østfold	58.88044	11.53528		http://www.yr.no/stad/Noreg/Østfold/Halden/Holtet/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Holtet/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Holtet/forecast.xml
101	Idd	45	Bygd	Bygd	Village area	Halden	Østfold	59.09491	11.42928		http://www.yr.no/stad/Noreg/Østfold/Halden/Idd/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Idd/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Idd/forecast.xml
101	Idd kirke	55	Kyrkje	Kirke	Church	Halden	Østfold	59.08628	11.43470		http://www.yr.no/stad/Noreg/Østfold/Halden/Idd_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Idd_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Idd_kirke/forecast.xml
101	Immanuels kirke	55	Kyrkje	Kirke	Church	Halden	Østfold	59.12113	11.39097		http://www.yr.no/stad/Noreg/Østfold/Halden/Immanuels_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Immanuels_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Immanuels_kirke/forecast.xml
101	Isebakke	26	Tettstad	Tettsted	Small town	Halden	Østfold	59.11447	11.30851		http://www.yr.no/stad/Noreg/Østfold/Halden/Isebakke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Isebakke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Isebakke/forecast.xml
101	Kitterød	41	Grend	Grend	Village	Halden	Østfold	58.88202	11.52219		http://www.yr.no/stad/Noreg/Østfold/Halden/Kitterød/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Kitterød/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Kitterød/forecast.xml
101	Knardal	36	Byområde	Byområde	Part of a city	Halden	Østfold	59.11413	11.39368		http://www.yr.no/stad/Noreg/Østfold/Halden/Knardal/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Knardal/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Knardal/forecast.xml
101	Kornsjø	26	Tettstad	Tettsted	Small town	Halden	Østfold	58.94145	11.65987		http://www.yr.no/stad/Noreg/Østfold/Halden/Kornsjø/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Halden/Kornsjø/varsel.xml	http://www.yr.no/place/Norway/Østfold/Halden/Kornsjø/forecast.xml
