Postnr	Poststad	Bruksområde	Kommunenummer	Lat	Lon	Merknad	Nynorsk	Bokmål	Engelsk	
0001	Oslo	Postboksar	301	59.91160	10.75450	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0001/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0001/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0001/varsel.xml	
0010	Oslo	Gateadresser og postboksar	301	59.91710	10.72740	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0010/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0010/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0010/varsel.xml	
0014	Oslo (ikkje i bruk)	Firma/organisasjon med eige postnummer	301	59.91160	10.75450	Datakvalitet: 2. Koordinatar endra 07.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0014/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0014/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0014/varsel.xml	
0015	Oslo	Firma/organisasjon med eige postnummer	301	59.90930	10.73870	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0015/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0015/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0015/varsel.xml	
0016	Oslo	Firma/organisasjon med eige postnummer	301	59.94390	10.65510	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0016/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0016/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0016/varsel.xml	
0017	Oslo	Firma/organisasjon med eige postnummer	219	59.91720	10.50490	Datakvalitet: 2. Koordinatar endra 08.02.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0017/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0017/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0017/varsel.xml	
0018	Oslo	Gate-/veg-adresse	301	59.90780	10.74050	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0018/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0018/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0018/varsel.xml	
0020	Oslo (ikkje i bruk)	Firma/organisasjon med eige postnummer	301	59.91160	10.75450	Datakvalitet: 2. Koordinatar endra 07.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0020/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0020/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0020/varsel.xml	
0021	Oslo	Fleire bruksområde	301	59.90970	10.72540	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0021/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0021/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0021/varsel.xml	
0022	Oslo (Ikkje i bruk)	Firma/organisasjon med eige postnummer	301	59.91340	10.75720	Datakvalitet: 2. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0022/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0022/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0022/varsel.xml	
0023	Oslo (ikkje i bruk)	Fleire bruksområde	301	59.91160	10.75450	Datakvalitet: 2. Koordinatar endra 07.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0023/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0023/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0023/varsel.xml	
0024	Oslo	Postboksar	301	59.91160	10.75450	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0024/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0024/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0024/varsel.xml	
0025	Oslo	Postboksar	301	59.91124	10.75156	Datakvalitet: 1. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0025/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0025/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0025/varsel.xml	
0026	Oslo	Gate-/veg-adresse	301	59.91320	10.74030	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0026/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0026/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0026/varsel.xml	
0027	Oslo (Ikkje i bruk)	Firma/organisasjon med eige postnummer	301	59.94790	10.71570	Datakvalitet: 2. Koordinatar endra 24.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0027/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0027/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0027/varsel.xml	
0028	Oslo	Postboksar	301	59.91432	10.74927	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0028/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0028/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0028/varsel.xml	
0030	Oslo	Postboksar	301	59.91540	10.74580	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0030/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0030/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0030/varsel.xml	
0031	Oslo	Postboksar	301	59.91540	10.74580	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0031/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0031/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0031/varsel.xml	
0032	Oslo	Postboksar	301	59.91540	10.74580	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0032/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0032/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0032/varsel.xml	
0033	Oslo	Postboksar	301	59.91540	10.74580	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0033/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0033/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0033/varsel.xml	
0034	Oslo	Postboksar	301	59.91540	10.74580	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0034/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0034/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0034/varsel.xml	
0037	Oslo	Firma/organisasjon med eige postnummer	301	59.91250	10.73410	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0037/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0037/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0037/varsel.xml	
0040	Oslo	Firma/organisasjon med eige postnummer	301	59.94250	10.76040	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0040/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0040/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0040/varsel.xml	
0041	Oslo (ikkje i bruk)	Firma/organisasjon med eige postnummer	301	59.94250	10.76040	Datakvalitet: 2. Koordinatar endra 07.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0041/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0041/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0041/varsel.xml	
0042	Oslo (ikkje i bruk)	Firma/organisasjon med eige postnummer	301	59.94250	10.76040	Datakvalitet: 2. Koordinatar endra 07.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/0042/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0042/varsel.xml	http://www.yr.no/sted/Norge/postnummer/0042/varsel.xml	
